minute,Best_level_OFI,Integrated_OFI,OFI_0,OFI_1,OFI_2,OFI_3,OFI_4,OFI_5,OFI_6,OFI_7,OFI_8,OFI_9
2024-10-21 11:54:00+00:00,-4.920801084587531,-0.712341406647643,-4.920801084587531,3.206397693535378,5.022738583514956,-1.4456590756980316,-0.5652897667793585,5.374886307082425,0.4077499957097012,-2.28896020318855,6.273789706715176,5.467556760652812
2024-10-21 11:55:00+00:00,-11.204577054601481,-1.4350102007482424,-11.204577054601481,16.26827251888317,16.765435346285372,-2.1727856901281424,-3.498553229867348,6.7945586411634284,-7.264101311487731,1.4822817631806395,12.778926008041788,-5.339897035060689
2024-10-21 11:56:00+00:00,3.047986007249867,-6.7154147777039075,3.047986007249867,-5.229029886689142,17.311465436386218,-5.338538365991533,5.9499607087632125,-2.4821921975208494,-0.5840452229460823,7.756850617252655,-1.314101751628685,2.3088037719587313
2024-10-21 11:57:00+00:00,8.504054897067997,5.641221842735275,8.504054897067997,5.784529008109794,2.9675608234560196,1.8159700561447285,-15.635059263880223,8.734373050530255,-4.464628820960698,-3.357330006238303,14.766936993137865,-2.0817217716781036
2024-10-21 11:58:00+00:00,5.376209803309398,-2.6251736782179016,5.376209803309398,0.15735248204807992,9.152669372463317,5.157664689353731,-0.3584139868872932,-10.341554792382142,10.411489228847955,-0.9703403059631596,4.956603184514518,21.461130190446458
2024-10-21 11:59:00+00:00,3.411302574490508,-6.634713431559736,3.411302574490508,21.412342772675636,8.179790044208422,-20.16519989598018,-2.402584071280949,5.51127109480859,4.273298386324131,-0.6785924476137032,10.83913882539726,5.41956941269863
2024-10-21 12:00:00+00:00,4.695112203084639,1.3500030361553452,4.695112203084639,7.065386589480593,11.4197245197607,3.960554326150429,-5.12675961530371,2.3021195318350487,-0.6891213072269389,-1.6887258407868941,17.03871364022651,-17.341624104941648
2024-10-21 12:01:00+00:00,-5.716693706411581,-1.0928402489065896,-5.716693706411581,3.352647436842882,18.024061861317715,14.062493415646534,2.0488401002928724,-4.599144560797287,10.724173531952552,-6.827079075451424,5.573418174922569,5.079117591285478
2024-10-21 12:02:00+00:00,-6.487251567752462,2.352637657793483,-6.487251567752462,-2.9841357211661323,6.273172266016631,7.992293931471033,-3.2890365448504983,2.5365153629912127,9.043228685446932,-8.323143761426408,14.550905266468773,-6.649432856946273
2024-10-21 12:03:00+00:00,-2.923720930232558,3.1329938712251804,-2.923720930232558,2.441860465116279,7.61860465116279,8.673488372093022,-4.395348837209302,4.551627906976744,5.176744186046511,-8.250232558139535,13.225116279069766,-12.886511627906975
2024-10-21 12:04:00+00:00,1.0144677494885763,2.6040858646241323,1.0144677494885763,0.6418061272274667,1.5458556182683068,8.398688783180933,-1.9737263697532845,-1.739087570551845,1.9530229462943338,-3.422966011879822,-0.18633081113055483,-7.2530993517856714
2024-10-21 12:05:00+00:00,0.9679138632451886,0.02726795943874713,0.9679138632451886,-3.505417774996088,0.9783777969018933,11.907956501329995,8.083388749804413,-0.1988147394773901,19.028663354717573,10.981898372711626,-11.82947699890471,5.069775856673447
2024-10-21 12:06:00+00:00,-18.706212439695165,1.2620361476819593,-18.706212439695165,12.225792412471177,-3.445223301510283,10.035650458826034,10.210661802153842,3.2852129304677153,3.9102534423527446,-1.3650884779569046,3.685238858074134,-8.945579806098543
2024-10-21 12:07:00+00:00,-4.814577342307235,-9.622112947118337,-4.814577342307235,-20.26683662303856,28.598589413304975,2.488376289550371,13.060174538027098,-8.519267907808906,10.733973485270235,7.019146967468968,-23.216398742220466,0.4257099965829555
2024-10-21 12:08:00+00:00,4.700187361133361,7.530633593136427,4.700187361133361,-28.412584538875695,4.358967215284211,11.880228176607023,-3.8447340377369006,23.073210143968574,-13.624776246230141,24.84659371887472,-8.818858699059016,4.137895008114339
2024-10-21 12:09:00+00:00,0.84135644351436,5.392489284651234,0.84135644351436,-12.135426929113528,-2.1178972543637338,9.897335897104885,3.382004226146393,22.898986947866202,-12.297066836980818,2.209078740852975,15.07395756188043,16.719368931709006
2024-10-21 12:10:00+00:00,0.037187405114207275,-1.508036911831868,0.037187405114207275,-4.3674541339685655,-15.903813587175978,-5.545055295918463,13.82545083468195,17.986308273571588,-1.2271843687688402,0.2974992409136582,14.41218544870611,41.01770784097063
2024-10-21 12:11:00+00:00,-0.0034085529430329816,38.68602663132045,-0.0034085529430329816,11.783367524065017,-57.57386776077009,63.43317026984379,-23.144074483193947,23.447435695123882,-3.575572037241598,10.931229288306772,-4.887864920309296,-0.9612119299353008
2024-10-21 12:12:00+00:00,-5.21702213062239,4.8328565179980965,-5.21702213062239,-27.939003774633537,6.3453210754231995,20.291241151996545,7.154358582466866,9.68668225922238,-2.3436691908081113,10.71339801928228,7.147102640699659,-7.676786389705827
